"GEOID","NAME","year","variable","education_level","estimate","moe"
"01","Alabama",2005,"B20004_002","Less than high school",17260,554
"01","Alabama",2005,"B20004_003","High school graduate",22223,392
"01","Alabama",2005,"B20004_004","Some college or associate's",27539,664
"01","Alabama",2005,"B20004_005","Bachelor's degree",40842,683
"01","Alabama",2005,"B20004_006","Graduate or professional degree",48502,1876
"02","Alaska",2005,"B20004_002","Less than high school",20842,2293
"02","Alaska",2005,"B20004_003","High school graduate",28717,1987
"02","Alaska",2005,"B20004_004","Some college or associate's",35517,889
"02","Alaska",2005,"B20004_005","Bachelor's degree",45875,1372
"02","Alaska",2005,"B20004_006","Graduate or professional degree",60823,2605
"04","Arizona",2005,"B20004_002","Less than high school",18223,657
"04","Arizona",2005,"B20004_003","High school graduate",25621,376
"04","Arizona",2005,"B20004_004","Some college or associate's",32074,397
"04","Arizona",2005,"B20004_005","Bachelor's degree",42399,843
"04","Arizona",2005,"B20004_006","Graduate or professional degree",51534,858
"05","Arkansas",2005,"B20004_002","Less than high school",16641,499
"05","Arkansas",2005,"B20004_003","High school graduate",22241,414
"05","Arkansas",2005,"B20004_004","Some college or associate's",26462,559
"05","Arkansas",2005,"B20004_005","Bachelor's degree",37918,1470
"05","Arkansas",2005,"B20004_006","Graduate or professional degree",46148,1668
"06","California",2005,"B20004_002","Less than high school",18163,258
"06","California",2005,"B20004_003","High school graduate",27217,251
"06","California",2005,"B20004_004","Some college or associate's",35861,227
"06","California",2005,"B20004_005","Bachelor's degree",50388,261
"06","California",2005,"B20004_006","Graduate or professional degree",67740,1088
"08","Colorado",2005,"B20004_002","Less than high school",20575,606
"08","Colorado",2005,"B20004_003","High school graduate",26649,522
"08","Colorado",2005,"B20004_004","Some college or associate's",31974,326
"08","Colorado",2005,"B20004_005","Bachelor's degree",41987,499
"08","Colorado",2005,"B20004_006","Graduate or professional degree",54953,1980
"09","Connecticut",2005,"B20004_002","Less than high school",22483,1030
"09","Connecticut",2005,"B20004_003","High school graduate",31475,418
"09","Connecticut",2005,"B20004_004","Some college or associate's",37263,726
"09","Connecticut",2005,"B20004_005","Bachelor's degree",51778,574
"09","Connecticut",2005,"B20004_006","Graduate or professional degree",67476,1931
"10","Delaware",2005,"B20004_002","Less than high school",21102,1672
"10","Delaware",2005,"B20004_003","High school graduate",29069,1154
"10","Delaware",2005,"B20004_004","Some college or associate's",35644,1053
"10","Delaware",2005,"B20004_005","Bachelor's degree",45020,2804
"10","Delaware",2005,"B20004_006","Graduate or professional degree",60496,2415
"11","District of Columbia",2005,"B20004_002","Less than high school",20287,1368
"11","District of Columbia",2005,"B20004_003","High school graduate",25646,1355
"11","District of Columbia",2005,"B20004_004","Some college or associate's",33065,3506
"11","District of Columbia",2005,"B20004_005","Bachelor's degree",49246,2728
"11","District of Columbia",2005,"B20004_006","Graduate or professional degree",69567,4308
"12","Florida",2005,"B20004_002","Less than high school",17455,293
"12","Florida",2005,"B20004_003","High school graduate",24390,317
"12","Florida",2005,"B20004_004","Some college or associate's",30564,207
"12","Florida",2005,"B20004_005","Bachelor's degree",40851,344
"12","Florida",2005,"B20004_006","Graduate or professional degree",52448,797
"13","Georgia",2005,"B20004_002","Less than high school",19367,673
"13","Georgia",2005,"B20004_003","High school graduate",25538,326
"13","Georgia",2005,"B20004_004","Some college or associate's",31653,292
"13","Georgia",2005,"B20004_005","Bachelor's degree",45335,593
"13","Georgia",2005,"B20004_006","Graduate or professional degree",54563,1495
"15","Hawaii",2005,"B20004_002","Less than high school",21448,1120
"15","Hawaii",2005,"B20004_003","High school graduate",26717,644
"15","Hawaii",2005,"B20004_004","Some college or associate's",32870,1279
"15","Hawaii",2005,"B20004_005","Bachelor's degree",40991,803
"15","Hawaii",2005,"B20004_006","Graduate or professional degree",52799,3091
"16","Idaho",2005,"B20004_002","Less than high school",16286,884
"16","Idaho",2005,"B20004_003","High school graduate",22948,1061
"16","Idaho",2005,"B20004_004","Some college or associate's",26026,722
"16","Idaho",2005,"B20004_005","Bachelor's degree",36915,1279
"16","Idaho",2005,"B20004_006","Graduate or professional degree",49682,1935
