"NAME","Age_Range","Total","year"
"Alabama","total",1261475,2005
"Alabama","15.to.24.years",21774,2005
"Alabama","25.to.34.years",141569,2005
"Alabama","35.to.44.years",241384,2005
"Alabama","45.to.54.years",289117,2005
"Alabama","55.to.59.years",133609,2005
"Alabama","60.to.64.years",115403,2005
"Alabama","65.to.74.years",176393,2005
"Alabama","75.to.84.years",111901,2005
"Alabama","85.years.and.over",30325,2005
"Alaska","total",147019,2005
"Alaska","15.to.24.years",2090,2005
"Alaska","25.to.34.years",16155,2005
"Alaska","35.to.44.years",34438,2005
"Alaska","45.to.54.years",45464,2005
"Alaska","55.to.59.years",17349,2005
"Alaska","60.to.64.years",11924,2005
"Alaska","65.to.74.years",12635,2005
"Alaska","75.to.84.years",5779,2005
"Alaska","85.years.and.over",1185,2005
"Arizona","total",1502457,2005
"Arizona","15.to.24.years",30387,2005
"Arizona","25.to.34.years",190106,2005
"Arizona","35.to.44.years",293301,2005
"Arizona","45.to.54.years",318567,2005
"Arizona","55.to.59.years",144127,2005
"Arizona","60.to.64.years",126935,2005
"Arizona","65.to.74.years",218759,2005
"Arizona","75.to.84.years",146373,2005
"Arizona","85.years.and.over",33902,2005
"Arkansas","total",736825,2005
"Arkansas","15.to.24.years",13861,2005
"Arkansas","25.to.34.years",82449,2005
"Arkansas","35.to.44.years",135271,2005
"Arkansas","45.to.54.years",159517,2005
"Arkansas","55.to.59.years",78327,2005
"Arkansas","60.to.64.years",68027,2005
"Arkansas","65.to.74.years",113289,2005
"Arkansas","75.to.84.years",67798,2005
"Arkansas","85.years.and.over",18286,2005
"California","total",7070138,2005
"California","15.to.24.years",70121,2005
"California","25.to.34.years",728360,2005
"California","35.to.44.years",1517480,2005
"California","45.to.54.years",1726463,2005
"California","55.to.59.years",768846,2005
"California","60.to.64.years",588961,2005
"California","65.to.74.years",853231,2005
"California","75.to.84.years",625443,2005
"California","85.years.and.over",191233,2005
"Colorado","total",1233695,2005
"Colorado","15.to.24.years",22038,2005
"Colorado","25.to.34.years",179345,2005
"Colorado","35.to.44.years",270404,2005
"Colorado","45.to.54.years",308232,2005
"Colorado","55.to.59.years",132458,2005
"Colorado","60.to.64.years",92227,2005
"Colorado","65.to.74.years",123903,2005
"Colorado","75.to.84.years",83713,2005
"Colorado","85.years.and.over",21375,2005
"Connecticut","total",919943,2005
"Connecticut","15.to.24.years",6031,2005
"Connecticut","25.to.34.years",86598,2005
"Connecticut","35.to.44.years",200721,2005
"Connecticut","45.to.54.years",231804,2005
"Connecticut","55.to.59.years",97807,2005
"Connecticut","60.to.64.years",78729,2005
"Connecticut","65.to.74.years",102893,2005
"Connecticut","75.to.84.years",87654,2005
"Connecticut","85.years.and.over",27706,2005
"Delaware","total",229860,2005
"Delaware","15.to.24.years",3431,2005
"Delaware","25.to.34.years",26910,2005
"Delaware","35.to.44.years",47945,2005
"Delaware","45.to.54.years",51627,2005
"Delaware","55.to.59.years",22863,2005
"Delaware","60.to.64.years",19905,2005
"Delaware","65.to.74.years",30959,2005
"Delaware","75.to.84.years",21934,2005
"Delaware","85.years.and.over",4286,2005
"District of Columbia","total",105518,2005
"District of Columbia","15.to.24.years",594,2005
"District of Columbia","25.to.34.years",16317,2005
"District of Columbia","35.to.44.years",20870,2005
"District of Columbia","45.to.54.years",19716,2005
"District of Columbia","55.to.59.years",11652,2005
"District of Columbia","60.to.64.years",9089,2005
"District of Columbia","65.to.74.years",12656,2005
"District of Columbia","75.to.84.years",11360,2005
"District of Columbia","85.years.and.over",3264,2005
"Florida","total",4903949,2005
"Florida","15.to.24.years",61495,2005
"Florida","25.to.34.years",455782,2005
"Florida","35.to.44.years",901073,2005
"Florida","45.to.54.years",1023633,2005
"Florida","55.to.59.years",492525,2005
"Florida","60.to.64.years",440015,2005
"Florida","65.to.74.years",775231,2005
"Florida","75.to.84.years",589608,2005
"Florida","85.years.and.over",164587,2005
"Georgia","total",2218217,2005
"Georgia","15.to.24.years",36144,2005
"Georgia","25.to.34.years",307120,2005
"Georgia","35.to.44.years",521157,2005
"Georgia","45.to.54.years",527288,2005
"Georgia","55.to.59.years",227330,2005
"Georgia","60.to.64.years",172642,2005
"Georgia","65.to.74.years",249990,2005
"Georgia","75.to.84.years",141516,2005
"Georgia","85.years.and.over",35030,2005
"Hawaii","total",256578,2005
"Hawaii","15.to.24.years",1855,2005
"Hawaii","25.to.34.years",14072,2005
