"NAME","Age_Range","Total","year"
"Alabama","total",527217,2005
"Alabama","15.to.24.years",83439,2005
"Alabama","25.to.34.years",145794,2005
"Alabama","35.to.44.years",103465,2005
"Alabama","45.to.54.years",78958,2005
"Alabama","55.to.59.years",29413,2005
"Alabama","60.to.64.years",21298,2005
"Alabama","65.to.74.years",31451,2005
"Alabama","75.to.84.years",23938,2005
"Alabama","85.years.and.over",9461,2005
"Alaska","total",86233,2005
"Alaska","15.to.24.years",14148,2005
"Alaska","25.to.34.years",22070,2005
"Alaska","35.to.44.years",20668,2005
"Alaska","45.to.54.years",15596,2005
"Alaska","55.to.59.years",5021,2005
"Alaska","60.to.64.years",2771,2005
"Alaska","65.to.74.years",2782,2005
"Alaska","75.to.84.years",1903,2005
"Alaska","85.years.and.over",1274,2005
"Arizona","total",701556,2005
"Arizona","15.to.24.years",120348,2005
"Arizona","25.to.34.years",214145,2005
"Arizona","35.to.44.years",136745,2005
"Arizona","45.to.54.years",102378,2005
"Arizona","55.to.59.years",36390,2005
"Arizona","60.to.64.years",23459,2005
"Arizona","65.to.74.years",29839,2005
"Arizona","75.to.84.years",24321,2005
"Arizona","85.years.and.over",13931,2005
"Arkansas","total",350717,2005
"Arkansas","15.to.24.years",54028,2005
"Arkansas","25.to.34.years",93575,2005
"Arkansas","35.to.44.years",75666,2005
"Arkansas","45.to.54.years",54133,2005
"Arkansas","55.to.59.years",18268,2005
"Arkansas","60.to.64.years",12839,2005
"Arkansas","65.to.74.years",18624,2005
"Arkansas","75.to.84.years",16794,2005
"Arkansas","85.years.and.over",6790,2005
"California","total",5027756,2005
"California","15.to.24.years",513253,2005
"California","25.to.34.years",1351726,2005
"California","35.to.44.years",1204818,2005
"California","45.to.54.years",891677,2005
"California","55.to.59.years",298026,2005
"California","60.to.64.years",201532,2005
"California","65.to.74.years",268407,2005
"California","75.to.84.years",211197,2005
"California","85.years.and.over",87120,2005
"Colorado","total",585342,2005
"Colorado","15.to.24.years",98882,2005
"Colorado","25.to.34.years",179804,2005
"Colorado","35.to.44.years",119765,2005
"Colorado","45.to.54.years",82161,2005
"Colorado","55.to.59.years",31075,2005
"Colorado","60.to.64.years",16833,2005
"Colorado","65.to.74.years",24259,2005
"Colorado","75.to.84.years",20644,2005
"Colorado","85.years.and.over",11919,2005
"Connecticut","total",403895,2005
"Connecticut","15.to.24.years",38467,2005
"Connecticut","25.to.34.years",95365,2005
"Connecticut","35.to.44.years",88845,2005
"Connecticut","45.to.54.years",66720,2005
"Connecticut","55.to.59.years",26564,2005
"Connecticut","60.to.64.years",17718,2005
"Connecticut","65.to.74.years",27963,2005
"Connecticut","75.to.84.years",27508,2005
"Connecticut","85.years.and.over",14745,2005
"Delaware","total",87780,2005
"Delaware","15.to.24.years",13753,2005
"Delaware","25.to.34.years",24687,2005
"Delaware","35.to.44.years",18401,2005
"Delaware","45.to.54.years",12196,2005
"Delaware","55.to.59.years",4960,2005
"Delaware","60.to.64.years",2922,2005
"Delaware","65.to.74.years",4508,2005
"Delaware","75.to.84.years",4311,2005
"Delaware","85.years.and.over",2042,2005
"District of Columbia","total",142695,2005
"District of Columbia","15.to.24.years",10135,2005
"District of Columbia","25.to.34.years",43740,2005
"District of Columbia","35.to.44.years",28425,2005
"District of Columbia","45.to.54.years",24752,2005
"District of Columbia","55.to.59.years",9544,2005
"District of Columbia","60.to.64.years",6587,2005
"District of Columbia","65.to.74.years",9855,2005
"District of Columbia","75.to.84.years",7303,2005
"District of Columbia","85.years.and.over",2354,2005
"Florida","total",2144851,2005
"Florida","15.to.24.years",289369,2005
"Florida","25.to.34.years",560350,2005
"Florida","35.to.44.years",452472,2005
"Florida","45.to.54.years",354982,2005
"Florida","55.to.59.years",121029,2005
"Florida","60.to.64.years",83286,2005
"Florida","65.to.74.years",127220,2005
"Florida","75.to.84.years",104196,2005
"Florida","85.years.and.over",51947,2005
"Georgia","total",1102061,2005
"Georgia","15.to.24.years",161930,2005
"Georgia","25.to.34.years",326986,2005
"Georgia","35.to.44.years",252031,2005
"Georgia","45.to.54.years",169606,2005
"Georgia","55.to.59.years",57542,2005
"Georgia","60.to.64.years",37768,2005
"Georgia","65.to.74.years",49269,2005
"Georgia","75.to.84.years",34160,2005
"Georgia","85.years.and.over",12769,2005
"Hawaii","total",173429,2005
"Hawaii","15.to.24.years",15866,2005
"Hawaii","25.to.34.years",42499,2005
"Hawaii","35.to.44.years",40357,2005
"Hawaii","45.to.54.years",31890,2005
"Hawaii","55.to.59.years",12962,2005
"Hawaii","60.to.64.years",8222,2005
"Hawaii","65.to.74.years",9652,2005
"Hawaii","75.to.84.years",8426,2005
"Hawaii","85.years.and.over",3555,2005
"Idaho","total",152187,2005
"Idaho","15.to.24.years",32006,2005
"Idaho","25.to.34.years",41320,2005
"Idaho","35.to.44.years",27211,2005
"Idaho","45.to.54.years",23275,2005
"Idaho","55.to.59.years",7190,2005
"Idaho","60.to.64.years",5425,2005
"Idaho","65.to.74.years",7408,2005
"Idaho","75.to.84.years",5327,2005
"Idaho","85.years.and.over",3025,2005
"Illinois","total",1413447,2005
"Illinois","15.to.24.years",174620,2005
"Illinois","25.to.34.years",388292,2005
"Illinois","35.to.44.years",284753,2005
"Illinois","45.to.54.years",229719,2005
"Illinois","55.to.59.years",82493,2005
"Illinois","60.to.64.years",55216,2005
"Illinois","65.to.74.years",85052,2005
"Illinois","75.to.84.years",74990,2005
"Illinois","85.years.and.over",38312,2005
"Indiana","total",683921,2005
"Indiana","15.to.24.years",113921,2005
"Indiana","25.to.34.years",180735,2005
"Indiana","35.to.44.years",141580,2005
"Indiana","45.to.54.years",98564,2005
"Indiana","55.to.59.years",37094,2005
"Indiana","60.to.64.years",23984,2005
"Indiana","65.to.74.years",33563,2005
"Indiana","75.to.84.years",34985,2005
"Indiana","85.years.and.over",19495,2005
"Iowa","total",323037,2005
"Iowa","15.to.24.years",64123,2005
"Iowa","25.to.34.years",81507,2005
"Iowa","35.to.44.years",52399,2005
"Iowa","45.to.54.years",47111,2005
"Iowa","55.to.59.years",15878,2005
"Iowa","60.to.64.years",11214,2005
"Iowa","65.to.74.years",17254,2005
"Iowa","75.to.84.years",20940,2005
"Iowa","85.years.and.over",12611,2005
"Kansas","total",327358,2005
"Kansas","15.to.24.years",67400,2005
"Kansas","25.to.34.years",87320,2005
"Kansas","35.to.44.years",60055,2005
"Kansas","45.to.54.years",44930,2005
"Kansas","55.to.59.years",14970,2005
"Kansas","60.to.64.years",9576,2005
"Kansas","65.to.74.years",15867,2005
"Kansas","75.to.84.years",17017,2005
"Kansas","85.years.and.over",10223,2005
"Kentucky","total",485925,2005
"Kentucky","15.to.24.years",74133,2005
"Kentucky","25.to.34.years",129006,2005
"Kentucky","35.to.44.years",98860,2005
"Kentucky","45.to.54.years",75693,2005
"Kentucky","55.to.59.years",26984,2005
"Kentucky","60.to.64.years",22823,2005
"Kentucky","65.to.74.years",28012,2005
"Kentucky","75.to.84.years",22297,2005
"Kentucky","85.years.and.over",8117,2005
"Louisiana","total",539726,2005
"Louisiana","15.to.24.years",86188,2005
"Louisiana","25.to.34.years",137338,2005
"Louisiana","35.to.44.years",102560,2005
"Louisiana","45.to.54.years",94832,2005
"Louisiana","55.to.59.years",31560,2005
"Louisiana","60.to.64.years",26707,2005
"Louisiana","65.to.74.years",30064,2005
"Louisiana","75.to.84.years",22880,2005
"Louisiana","85.years.and.over",7597,2005
"Maine","total",152955,2005
"Maine","15.to.24.years",21716,2005
"Maine","25.to.34.years",34257,2005
"Maine","35.to.44.years",33584,2005
"Maine","45.to.54.years",22551,2005
"Maine","55.to.59.years",8438,2005
"Maine","60.to.64.years",5744,2005
"Maine","65.to.74.years",9697,2005
"Maine","75.to.84.years",11747,2005
"Maine","85.years.and.over",5221,2005
"Maryland","total",647033,2005
"Maryland","15.to.24.years",77217,2005
"Maryland","25.to.34.years",162374,2005
"Maryland","35.to.44.years",144596,2005
"Maryland","45.to.54.years",107397,2005
"Maryland","55.to.59.years",40132,2005
"Maryland","60.to.64.years",24867,2005
"Maryland","65.to.74.years",38532,2005
"Maryland","75.to.84.years",35518,2005
"Maryland","85.years.and.over",16400,2005
"Massachusetts","total",880147,2005
"Massachusetts","15.to.24.years",81073,2005
"Massachusetts","25.to.34.years",232062,2005
"Massachusetts","35.to.44.years",178621,2005
"Massachusetts","45.to.54.years",140457,2005
"Massachusetts","55.to.59.years",55585,2005
"Massachusetts","60.to.64.years",40027,2005
"Massachusetts","65.to.74.years",61357,2005
"Massachusetts","75.to.84.years",59011,2005
"Massachusetts","85.years.and.over",31954,2005
"Michigan","total",984666,2005
"Michigan","15.to.24.years",155239,2005
"Michigan","25.to.34.years",260091,2005
"Michigan","35.to.44.years",194145,2005
"Michigan","45.to.54.years",149093,2005
"Michigan","55.to.59.years",50141,2005
"Michigan","60.to.64.years",37046,2005
"Michigan","65.to.74.years",51202,2005
"Michigan","75.to.84.years",57376,2005
"Michigan","85.years.and.over",30333,2005
"Minnesota","total",489485,2005
"Minnesota","15.to.24.years",90523,2005
"Minnesota","25.to.34.years",126101,2005
"Minnesota","35.to.44.years",83321,2005
"Minnesota","45.to.54.years",66194,2005
"Minnesota","55.to.59.years",20932,2005
"Minnesota","60.to.64.years",17776,2005
"Minnesota","65.to.74.years",25744,2005
"Minnesota","75.to.84.years",35071,2005
"Minnesota","85.years.and.over",23823,2005
"Mississippi","total",326588,2005
"Mississippi","15.to.24.years",44286,2005
"Mississippi","25.to.34.years",92738,2005
"Mississippi","35.to.44.years",67192,2005
"Mississippi","45.to.54.years",55690,2005
"Mississippi","55.to.59.years",19175,2005
"Mississippi","60.to.64.years",13179,2005
"Mississippi","65.to.74.years",18709,2005
"Mississippi","75.to.84.years",12424,2005
"Mississippi","85.years.and.over",3195,2005
