"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
1,"Alabama",2005,36879,535,4,"Southeast",0.174
2,"Alaska",2005,56234,832,10,"Pacific Northwest",0.178
4,"Arizona",2005,44282,717,9,"Pacific Southwest",0.194
5,"Arkansas",2005,34999,549,6,"South Central",0.188
6,"California",2005,53629,973,9,"Pacific Southwest",0.218
8,"Colorado",2005,50652,757,8,"Mountain North",0.179
9,"Connecticut",2005,60941,839,1,"New England",0.165
10,"Delaware",2005,52499,793,3,"Mid-Atlantic",0.181
11,"District of Columbia",2005,47221,832,3,"Mid-Atlantic",0.211
12,"Florida",2005,42433,809,4,"Southeast",0.229
13,"Georgia",2005,45604,709,4,"Southeast",0.187
15,"Hawaii",2005,58112,995,9,"Pacific Southwest",0.205
16,"Idaho",2005,41443,594,10,"Pacific Northwest",0.172
17,"Illinois",2005,50260,734,5,"Great Lakes",0.175
18,"Indiana",2005,43993,615,5,"Great Lakes",0.168
19,"Iowa",2005,43609,559,7,"Central Plains",0.154
20,"Kansas",2005,42920,588,7,"Central Plains",0.164
21,"Kentucky",2005,37369,527,4,"Southeast",0.169
22,"Louisiana",2005,36729,569,6,"South Central",0.186
23,"Maine",2005,42801,623,1,"New England",0.175
24,"Maryland",2005,61592,891,3,"Mid-Atlantic",0.174
25,"Massachusetts",2005,57184,902,1,"New England",0.189
26,"Michigan",2005,46039,655,5,"Great Lakes",0.171
27,"Minnesota",2005,52024,692,5,"Great Lakes",0.16
28,"Mississippi",2005,32938,538,4,"Southeast",0.196
29,"Missouri",2005,41974,593,7,"Central Plains",0.17
30,"Montana",2005,39301,552,8,"Mountain North",0.169
31,"Nebraska",2005,43849,569,7,"Central Plains",0.156
32,"Nevada",2005,49169,861,9,"Pacific Southwest",0.21
33,"New Hampshire",2005,56768,854,1,"New England",0.181
34,"New Jersey",2005,61672,935,2,"New York–New Jersey",0.182
35,"New Mexico",2005,37492,587,6,"South Central",0.188
36,"New York",2005,49480,841,2,"New York–New Jersey",0.204
37,"North Carolina",2005,40729,635,4,"Southeast",0.187
38,"North Dakota",2005,41030,479,8,"Mountain North",0.14
39,"Ohio",2005,43493,613,5,"Great Lakes",0.169
40,"Oklahoma",2005,37063,547,6,"South Central",0.177
41,"Oregon",2005,42944,689,10,"Pacific Northwest",0.193
42,"Pennsylvania",2005,44537,647,3,"Mid-Atlantic",0.174
44,"Rhode Island",2005,51458,775,1,"New England",0.181
45,"South Carolina",2005,39316,611,4,"Southeast",0.186
46,"South Dakota",2005,40310,500,8,"Mountain North",0.149
47,"Tennessee",2005,38874,583,4,"Southeast",0.18
48,"Texas",2005,42139,671,6,"South Central",0.191
49,"Utah",2005,47934,665,8,"Mountain North",0.166
50,"Vermont",2005,45686,683,1,"New England",0.179
51,"Virginia",2005,54240,812,3,"Mid-Atlantic",0.18
53,"Washington",2005,49262,741,10,"Pacific Northwest",0.181
54,"West Virginia",2005,33452,483,3,"Mid-Atlantic",0.173
55,"Wisconsin",2005,47105,643,5,"Great Lakes",0.164
56,"Wyoming",2005,46202,537,8,"Mountain North",0.139
72,"Puerto Rico",2005,17184,380,11,"Puerto Rico",0.265
1,"Alabama",2006,38783,573,4,"Southeast",0.177
2,"Alaska",2006,59393,883,10,"Pacific Northwest",0.178
4,"Arizona",2006,47265,762,9,"Pacific Southwest",0.193
5,"Arkansas",2006,36599,566,6,"South Central",0.186
6,"California",2006,56645,1029,9,"Pacific Southwest",0.218
8,"Colorado",2006,52015,780,8,"Mountain North",0.18
9,"Connecticut",2006,63422,886,1,"New England",0.168
10,"Delaware",2006,52833,830,3,"Mid-Atlantic",0.189
11,"District of Columbia",2006,51847,914,3,"Mid-Atlantic",0.212
12,"Florida",2006,45495,872,4,"Southeast",0.23
13,"Georgia",2006,46832,738,4,"Southeast",0.189
15,"Hawaii",2006,61160,1116,9,"Pacific Southwest",0.219
16,"Idaho",2006,42865,623,10,"Pacific Northwest",0.174
17,"Illinois",2006,52006,761,5,"Great Lakes",0.176
18,"Indiana",2006,45394,638,5,"Great Lakes",0.169
19,"Iowa",2006,44491,584,7,"Central Plains",0.158
20,"Kansas",2006,45478,609,7,"Central Plains",0.161
21,"Kentucky",2006,39372,548,4,"Southeast",0.167
22,"Louisiana",2006,39337,618,6,"South Central",0.189
23,"Maine",2006,43439,636,1,"New England",0.176
24,"Maryland",2006,65144,953,3,"Mid-Atlantic",0.176
25,"Massachusetts",2006,59963,933,1,"New England",0.187
26,"Michigan",2006,47182,675,5,"Great Lakes",0.172
27,"Minnesota",2006,54023,701,5,"Great Lakes",0.156
28,"Mississippi",2006,34473,584,4,"Southeast",0.203
29,"Missouri",2006,42841,607,7,"Central Plains",0.17
30,"Montana",2006,40627,571,8,"Mountain North",0.169
31,"Nebraska",2006,45474,593,7,"Central Plains",0.156
32,"Nevada",2006,52998,917,9,"Pacific Southwest",0.208
33,"New Hampshire",2006,59683,861,1,"New England",0.173
34,"New Jersey",2006,64470,974,2,"New York–New Jersey",0.181
35,"New Mexico",2006,40629,617,6,"South Central",0.182
36,"New York",2006,51384,875,2,"New York–New Jersey",0.204
37,"North Carolina",2006,42625,656,4,"Southeast",0.185
38,"North Dakota",2006,41919,497,8,"Mountain North",0.142
39,"Ohio",2006,44532,627,5,"Great Lakes",0.169
40,"Oklahoma",2006,38770,580,6,"South Central",0.18
41,"Oregon",2006,46230,714,10,"Pacific Northwest",0.185
42,"Pennsylvania",2006,46259,664,3,"Mid-Atlantic",0.172
44,"Rhode Island",2006,51814,840,1,"New England",0.195
45,"South Carolina",2006,41100,640,4,"Southeast",0.187
46,"South Dakota",2006,42791,522,8,"Mountain North",0.146
47,"Tennessee",2006,40315,613,4,"Southeast",0.182
48,"Texas",2006,44922,711,6,"South Central",0.19
49,"Utah",2006,51309,697,8,"Mountain North",0.163
50,"Vermont",2006,47665,716,1,"New England",0.18
51,"Virginia",2006,56277,846,3,"Mid-Atlantic",0.18
53,"Washington",2006,52583,779,10,"Pacific Northwest",0.178
54,"West Virginia",2006,35059,499,3,"Mid-Atlantic",0.171
55,"Wisconsin",2006,48772,658,5,"Great Lakes",0.162
56,"Wyoming",2006,47423,601,8,"Mountain North",0.152
72,"Puerto Rico",2006,17621,395,11,"Puerto Rico",0.269
